Origin,region,sub-region,intermediate-region
Afghanistan,Asia,Southern Asia,
ÌÉland Islands,Europe,Northern Europe,
Albania,Europe,Southern Europe,
Algeria,Africa,Northern Africa,
American Samoa,Oceania,Polynesia,
Andorra,Europe,Southern Europe,
Angola,Africa,Sub-Saharan Africa,Middle Africa
Anguilla,Americas,Latin America and the Caribbean,Caribbean
Antarctica,,,
Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean
Argentina,Americas,Latin America and the Caribbean,South America
Armenia,Asia,Western Asia,
Aruba,Americas,Latin America and the Caribbean,Caribbean
Australia,Oceania,Australia and New Zealand,
Austria,Europe,Western Europe,
Azerbaijan,Asia,Western Asia,
Bahamas,Americas,Latin America and the Caribbean,Caribbean
Bahrain,Asia,Western Asia,
Bangladesh,Asia,Southern Asia,
Barbados,Americas,Latin America and the Caribbean,Caribbean
Belarus,Europe,Eastern Europe,
Belgium,Europe,Western Europe,
Belize,Americas,Latin America and the Caribbean,Central America
Benin,Africa,Sub-Saharan Africa,Western Africa
Bermuda,Americas,Northern America,
Bhutan,Asia,Southern Asia,
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,South America
"Bonaire, Sint Eustatius and Saba",Americas,Latin America and the Caribbean,Caribbean
Bosnia and Herzegovina,Europe,Southern Europe,
Botswana,Africa,Sub-Saharan Africa,Southern Africa
Bouvet Island,Americas,Latin America and the Caribbean,South America
Brazil,Americas,Latin America and the Caribbean,South America
British Indian Ocean Territory,Africa,Sub-Saharan Africa,Eastern Africa
Brunei Darussalam,Asia,South-eastern Asia,
Bulgaria,Europe,Eastern Europe,
Burkina Faso,Africa,Sub-Saharan Africa,Western Africa
Burundi,Africa,Sub-Saharan Africa,Eastern Africa
Cabo Verde,Africa,Sub-Saharan Africa,Western Africa
Cambodia,Asia,South-eastern Asia,
Cameroon,Africa,Sub-Saharan Africa,Middle Africa
Canada,Americas,Northern America,
Cayman Islands,Americas,Latin America and the Caribbean,Caribbean
Central African Republic,Africa,Sub-Saharan Africa,Middle Africa
Chad,Africa,Sub-Saharan Africa,Middle Africa
Chile,Americas,Latin America and the Caribbean,South America
China,Asia,Eastern Asia,
Christmas Island,Oceania,Australia and New Zealand,
Cocos (Keeling) Islands,Oceania,Australia and New Zealand,
Colombia,Americas,Latin America and the Caribbean,South America
Comoros,Africa,Sub-Saharan Africa,Eastern Africa
Congo,Africa,Sub-Saharan Africa,Middle Africa
Congo (Democratic Republic of the),Africa,Sub-Saharan Africa,Middle Africa
Cook Islands,Oceania,Polynesia,
Costa Rica,Americas,Latin America and the Caribbean,Central America
CÌ«te d'Ivoire,Africa,Sub-Saharan Africa,Western Africa
Croatia,Europe,Southern Europe,
Cuba,Americas,Latin America and the Caribbean,Caribbean
CuraÌ¤ao,Americas,Latin America and the Caribbean,Caribbean
Cyprus,Asia,Western Asia,
Czechia,Europe,Eastern Europe,
Denmark,Europe,Northern Europe,
Djibouti,Africa,Sub-Saharan Africa,Eastern Africa
Dominica,Americas,Latin America and the Caribbean,Caribbean
Dominican Republic,Americas,Latin America and the Caribbean,Caribbean
Ecuador,Americas,Latin America and the Caribbean,South America
Egypt,Africa,Northern Africa,
El Salvador,Americas,Latin America and the Caribbean,Central America
Equatorial Guinea,Africa,Sub-Saharan Africa,Middle Africa
Eritrea,Africa,Sub-Saharan Africa,Eastern Africa
Estonia,Europe,Northern Europe,
Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa
Falkland Islands (Malvinas),Americas,Latin America and the Caribbean,South America
Faroe Islands,Europe,Northern Europe,
Fiji,Oceania,Melanesia,
Finland,Europe,Northern Europe,
France,Europe,Western Europe,
French Guiana,Americas,Latin America and the Caribbean,South America
French Polynesia,Oceania,Polynesia,
French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa
Gabon,Africa,Sub-Saharan Africa,Middle Africa
Gambia,Africa,Sub-Saharan Africa,Western Africa
Georgia,Asia,Western Asia,
Germany,Europe,Western Europe,
Ghana,Africa,Sub-Saharan Africa,Western Africa
Gibraltar,Europe,Southern Europe,
Greece,Europe,Southern Europe,
Greenland,Americas,Northern America,
Grenada,Americas,Latin America and the Caribbean,Caribbean
Guadeloupe,Americas,Latin America and the Caribbean,Caribbean
Guam,Oceania,Micronesia,
Guatemala,Americas,Latin America and the Caribbean,Central America
Guernsey,Europe,Northern Europe,Channel Islands
Guinea,Africa,Sub-Saharan Africa,Western Africa
Guinea-Bissau,Africa,Sub-Saharan Africa,Western Africa
Guyana,Americas,Latin America and the Caribbean,South America
Haiti,Americas,Latin America and the Caribbean,Caribbean
Heard Island and McDonald Islands,Oceania,Australia and New Zealand,
Holy See,Europe,Southern Europe,
Honduras,Americas,Latin America and the Caribbean,Central America
Hong Kong,Asia,Eastern Asia,
Hungary,Europe,Eastern Europe,
Iceland,Europe,Northern Europe,
India,Asia,Southern Asia,
Indonesia,Asia,South-eastern Asia,
Iran (Islamic Republic of),Asia,Southern Asia,
Iraq,Asia,Western Asia,
Ireland,Europe,Northern Europe,
Isle of Man,Europe,Northern Europe,
Israel,Asia,Western Asia,
Italy,Europe,Southern Europe,
Jamaica,Americas,Latin America and the Caribbean,Caribbean
Japan,Asia,Eastern Asia,
Jersey,Europe,Northern Europe,Channel Islands
Jordan,Asia,Western Asia,
Kazakhstan,Asia,Central Asia,
Kenya,Africa,Sub-Saharan Africa,Eastern Africa
Kiribati,Oceania,Micronesia,
Korea (Democratic People's Republic of),Asia,Eastern Asia,
Korea (Republic of),Asia,Eastern Asia,
Kuwait,Asia,Western Asia,
Kyrgyzstan,Asia,Central Asia,
Lao People's Democratic Republic,Asia,South-eastern Asia,
Latvia,Europe,Northern Europe,
Lebanon,Asia,Western Asia,
Lesotho,Africa,Sub-Saharan Africa,Southern Africa
Liberia,Africa,Sub-Saharan Africa,Western Africa
Libya,Africa,Northern Africa,
Liechtenstein,Europe,Western Europe,
Lithuania,Europe,Northern Europe,
Luxembourg,Europe,Western Europe,
Macao,Asia,Eastern Asia,
Macedonia (the former Yugoslav Republic of),Europe,Southern Europe,
Madagascar,Africa,Sub-Saharan Africa,Eastern Africa
Malawi,Africa,Sub-Saharan Africa,Eastern Africa
Malaysia,Asia,South-eastern Asia,
Maldives,Asia,Southern Asia,
Mali,Africa,Sub-Saharan Africa,Western Africa
Malta,Europe,Southern Europe,
Marshall Islands,Oceania,Micronesia,
Martinique,Americas,Latin America and the Caribbean,Caribbean
Mauritania,Africa,Sub-Saharan Africa,Western Africa
Mauritius,Africa,Sub-Saharan Africa,Eastern Africa
Mayotte,Africa,Sub-Saharan Africa,Eastern Africa
Mexico,Americas,Latin America and the Caribbean,Central America
Micronesia (Federated States of),Oceania,Micronesia,
Moldova (Republic of),Europe,Eastern Europe,
Monaco,Europe,Western Europe,
Mongolia,Asia,Eastern Asia,
Montenegro,Europe,Southern Europe,
Montserrat,Americas,Latin America and the Caribbean,Caribbean
Morocco,Africa,Northern Africa,
Mozambique,Africa,Sub-Saharan Africa,Eastern Africa
Myanmar,Asia,South-eastern Asia,
Namibia,Africa,Sub-Saharan Africa,Southern Africa
Nauru,Oceania,Micronesia,
Nepal,Asia,Southern Asia,
Netherlands,Europe,Western Europe,
New Caledonia,Oceania,Melanesia,
New Zealand,Oceania,Australia and New Zealand,
Nicaragua,Americas,Latin America and the Caribbean,Central America
Niger,Africa,Sub-Saharan Africa,Western Africa
Nigeria,Africa,Sub-Saharan Africa,Western Africa
Niue,Oceania,Polynesia,
Norfolk Island,Oceania,Australia and New Zealand,
Northern Mariana Islands,Oceania,Micronesia,
Norway,Europe,Northern Europe,
Oman,Asia,Western Asia,
Pakistan,Asia,Southern Asia,
Palau,Oceania,Micronesia,
"Palestine, State of",Asia,Western Asia,
Panama,Americas,Latin America and the Caribbean,Central America
Papua New Guinea,Oceania,Melanesia,
Paraguay,Americas,Latin America and the Caribbean,South America
Peru,Americas,Latin America and the Caribbean,South America
Philippines,Asia,South-eastern Asia,
Pitcairn,Oceania,Polynesia,
Poland,Europe,Eastern Europe,
Portugal,Europe,Southern Europe,
Puerto Rico,Americas,Latin America and the Caribbean,Caribbean
Qatar,Asia,Western Asia,
RÌ©union,Africa,Sub-Saharan Africa,Eastern Africa
Romania,Europe,Eastern Europe,
Russian Federation,Europe,Eastern Europe,
Rwanda,Africa,Sub-Saharan Africa,Eastern Africa
Saint BarthÌ©lemy,Americas,Latin America and the Caribbean,Caribbean
"Saint Helena, Ascension and Tristan da Cunha",Africa,Sub-Saharan Africa,Western Africa
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Caribbean
Saint Lucia,Americas,Latin America and the Caribbean,Caribbean
Saint Martin (French part),Americas,Latin America and the Caribbean,Caribbean
Saint Pierre and Miquelon,Americas,Northern America,
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Caribbean
Samoa,Oceania,Polynesia,
San Marino,Europe,Southern Europe,
Sao Tome and Principe,Africa,Sub-Saharan Africa,Middle Africa
Saudi Arabia,Asia,Western Asia,
Senegal,Africa,Sub-Saharan Africa,Western Africa
Serbia,Europe,Southern Europe,
Seychelles,Africa,Sub-Saharan Africa,Eastern Africa
Sierra Leone,Africa,Sub-Saharan Africa,Western Africa
Singapore,Asia,South-eastern Asia,
Sint Maarten (Dutch part),Americas,Latin America and the Caribbean,Caribbean
Slovakia,Europe,Eastern Europe,
Slovenia,Europe,Southern Europe,
Solomon Islands,Oceania,Melanesia,
Somalia,Africa,Sub-Saharan Africa,Eastern Africa
South Africa,Africa,Sub-Saharan Africa,Southern Africa
South Georgia and the South Sandwich Islands,Americas,Latin America and the Caribbean,South America
South Sudan,Africa,Sub-Saharan Africa,Eastern Africa
Spain,Europe,Southern Europe,
Sri Lanka,Asia,Southern Asia,
Sudan,Africa,Northern Africa,
Suriname,Americas,Latin America and the Caribbean,South America
Svalbard and Jan Mayen,Europe,Northern Europe,
Swaziland,Africa,Sub-Saharan Africa,Southern Africa
Sweden,Europe,Northern Europe,
Switzerland,Europe,Western Europe,
Syrian Arab Republic,Asia,Western Asia,
"Taiwan, Province of China",Asia,Eastern Asia,
Tajikistan,Asia,Central Asia,
"Tanzania, United Republic of",Africa,Sub-Saharan Africa,Eastern Africa
Thailand,Asia,South-eastern Asia,
Timor-Leste,Asia,South-eastern Asia,
Togo,Africa,Sub-Saharan Africa,Western Africa
Tokelau,Oceania,Polynesia,
Tonga,Oceania,Polynesia,
Trinidad and Tobago,Americas,Latin America and the Caribbean,Caribbean
Tunisia,Africa,Northern Africa,
Turkey,Asia,Western Asia,
Turkmenistan,Asia,Central Asia,
Turks and Caicos Islands,Americas,Latin America and the Caribbean,Caribbean
Tuvalu,Oceania,Polynesia,
Uganda,Africa,Sub-Saharan Africa,Eastern Africa
Ukraine,Europe,Eastern Europe,
United Arab Emirates,Asia,Western Asia,
United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe,
United States of America,Americas,Northern America,
United States Minor Outlying Islands,Oceania,Micronesia,
Uruguay,Americas,Latin America and the Caribbean,South America
Uzbekistan,Asia,Central Asia,
Vanuatu,Oceania,Melanesia,
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,South America
Viet Nam,Asia,South-eastern Asia,
Virgin Islands (British),Americas,Latin America and the Caribbean,Caribbean
Virgin Islands (U.S.),Americas,Latin America and the Caribbean,Caribbean
Wallis and Futuna,Oceania,Polynesia,
Western Sahara,Africa,Northern Africa,
Yemen,Asia,Western Asia,
Zambia,Africa,Sub-Saharan Africa,Eastern Africa
Zimbabwe,Africa,Sub-Saharan Africa,Eastern Africa